periode_data,nama_rute,rute,tanggal,jumlah_bus,jumlah_penumpang
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-16T00:00:00Z,0,0
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-17T00:00:00Z,5,921
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-17T00:00:00Z,3,443
201401,"RUTE 3","TMII - GANDARIA",2014-01-17T00:00:00Z,6,1243
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-17T00:00:00Z,6,1044
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-17T00:00:00Z,5,891
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-17T00:00:00Z,4,584
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-17T00:00:00Z,5,998
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-17T00:00:00Z,4,692
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-17T00:00:00Z,3,476
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-17T00:00:00Z,2,0
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-17T00:00:00Z,4,892
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-17T00:00:00Z,4,481
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-17T00:00:00Z,4,313
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-17T00:00:00Z,4,608
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-17T00:00:00Z,0,0
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-17T00:00:00Z,0,0
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-20T00:00:00Z,5,1035
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-20T00:00:00Z,0,0
201401,"RUTE 3","TMII - GANDARIA",2014-01-20T00:00:00Z,5,1063
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-20T00:00:00Z,6,1052
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-20T00:00:00Z,4,657
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-20T00:00:00Z,4,624
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-20T00:00:00Z,5,1007
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-20T00:00:00Z,4,563
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-20T00:00:00Z,3,403
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-20T00:00:00Z,0,0
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-20T00:00:00Z,4,804
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-20T00:00:00Z,4,478
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-20T00:00:00Z,0,0
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-20T00:00:00Z,0,0
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-20T00:00:00Z,0,0
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-20T00:00:00Z,0,0
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-21T00:00:00Z,5,994
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-21T00:00:00Z,2,288
201401,"RUTE 3","TMII - GANDARIA",2014-01-21T00:00:00Z,6,1165
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-21T00:00:00Z,6,1101
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-21T00:00:00Z,5,814
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-21T00:00:00Z,5,749
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-21T00:00:00Z,5,997
201401,"RUTE 8","TERM PS. MINGGU - MANGGARAI",2014-01-21T00:00:00Z,4,743
201401,"RUTE 9","CAWANG - PGC - PLUMPANG",2014-01-21T00:00:00Z,4,542
201401,"RUTE 10","CILINCING - PERINTIS ",2014-01-21T00:00:00Z,0,0
201401,"RUTE 11","PENDOK GEDE - CONDET - RANCHO",2014-01-21T00:00:00Z,4,769
201401,"RUTE 12","TERM KAMPUNG MELAYU - TERM RAWAMANGUN",2014-01-21T00:00:00Z,4,440
201401,"RUTE 13","TERM KALIDERES - KAMAL",2014-01-21T00:00:00Z,0,0
201401,"RUTE 14","TERM KALIDERES - DURI KOSAMBI",2014-01-21T00:00:00Z,0,0
201401,"RUTE 15","BLOK M - CILEDUG",2014-01-21T00:00:00Z,0,0
201401,"RUTE 16","LAPANGAN BANTENG  -  TERM KP. MELAYU",2014-01-21T00:00:00Z,0,0
201401,"RUTE 1","LAPANGAN BANTENG  -  PERINTIS ",2014-01-22T00:00:00Z,5,932
201401,"RUTE 2","PELUMPANG - SUNTER - KEMAYORAN",2014-01-22T00:00:00Z,3,536
201401,"RUTE 3","TMII - GANDARIA",2014-01-22T00:00:00Z,5,1106
201401,"RUTE 4","TMII - PERINTIS KEMERDEKAAN",2014-01-22T00:00:00Z,6,1124
201401,"RUTE 5","TMII - TERM KAMPUNG MELAYU",2014-01-22T00:00:00Z,5,866
201401,"RUTE 6","TERM PS.MINGGU - KEBAYORAN",2014-01-22T00:00:00Z,5,732
201401,"RUTE 7","TERM PS.MINGGU - UNIVERSITAS INDONESIA",2014-01-22T00:00:00Z,5,1022
